2018-11-01 15:02:13 Mail_log: test
2018-11-02 15:12:54 Mail_log: Hello.
2018-11-02 15:16:58 Mail_log: Hello.
2018-11-02 15:20:09 Mail_log: Hello.
2018-11-02 15:30:28 Mail_log: test.
2018-11-02 15:44:31 Mail_log: test.
2018-11-02 15:46:05 Mail_log: 
2018-11-02 15:46:41 Mail_log: 
2018-11-02 15:47:13 Mail_log: someya.training@gmail.com
2018-11-02 15:49:20 Mail_log: someya.training@gmail.com
2018-11-02 15:52:49 Mail_log: send to someya.training@gmail.com
2018-11-02 15:59:19 Mail_log: send to someya.training@gmail.com
2018-11-02 16:03:10 Mail_log: send to someya.training@gmail.com,status: success
2018-11-02 16:05:57 Mail_log: send to someya.training@gmail.com, status: success
2018-11-02 16:08:41 Mail_log: send to someya.training@gmail.com, status: success
2018-11-02 17:27:49 Mail_log: send to someya.training@gmail.com, status: success
2019-02-07 19:14:00 Mail_log: send to someday.training@gmail.com, status: success
2019-02-07 19:22:03 Mail_log: send to someday.training@gmail.com, status: success
2019-02-07 20:21:55 Mail_log: send to someya.training@gmail.com, status: success
2019-02-07 20:22:50 Mail_log: send to someya.training@gmail.com, status: success
2019-02-07 20:52:04 Mail_log: send to someya.training@gmail.com, status: success
2019-02-08 19:39:12 Mail_log: send to someya.train@gmail.com, status: success
2019-02-20 17:27:13 Mail_log: send to someya_training@gmail.com, status: success
2019-02-21 15:23:55 Mail_log: send to someya_training@gmail.com, status: success
2019-02-21 15:59:54 Mail_log: send to someya0209@gmail.com, status: success
2019-02-21 16:33:06 Mail_log: send to someya.training@gmail.com, status: success
2019-02-26 13:04:09 Mail_log: send to someya0209@gmail.com, status: success
2019-02-26 18:33:43 Mail_log: send to someya_training@gmail.com, status: success
